player_id,game_id,fo,fo_wins
8471215,2019020007,10,4
8471675,2019020007,27,13
8471743,2019020007,5,3
8473449,2019020007,1,1
8475149,2019020007,9,2
8475728,2019020007,17,10
8475760,2019020007,12,6
8475784,2019020007,1,1
8476927,2019020007,13,7
8477933,2019020007,1,1
8477955,2019020007,1,1
8478403,2019020007,18,10
8479999,2019020007,11,4
8473986,2019020021,3,1
8474034,2019020021,1,1
8474098,2019020021,1,0
8474564,2019020021,13,8
8474870,2019020021,11,7
8474884,2019020021,1,1
8475792,2019020021,1,1
8476389,2019020021,18,10
8476826,2019020021,10,4
8476966,2019020021,8,5
8477493,2019020021,14,6
8478366,2019020021,1,0
8478519,2019020021,12,6
8478569,2019020021,20,7
8479404,2019020021,2,1
8471698,2019020023,6,2
8473533,2019020023,19,14
8473563,2019020023,14,10
8474189,2019020023,15,10
8475209,2019020023,1,1
8475287,2019020023,19,5
8475343,2019020023,11,5
8476905,2019020023,16,7
8476921,2019020023,1,0
8476934,2019020023,2,1
8477944,2019020023,2,1
8478027,2019020023,9,5
8478427,2019020023,14,4
8480039,2019020023,1,0
8473533,2019020031,18,8
8474564,2019020031,21,10
8474870,2019020031,19,4
8475287,2019020031,19,15
8476826,2019020031,2,2
8476882,2019020031,1,1
8476921,2019020031,1,0
8476934,2019020031,2,1
8476966,2019020031,7,4
8478027,2019020031,13,6
8478427,2019020031,18,10
8478519,2019020031,23,11
8473422,2019020068,6,2
8473533,2019020068,17,9
8474062,2019020068,14,6
8474679,2019020068,3,1
8474715,2019020068,2,1
8475287,2019020068,19,12
8476288,2019020068,1,1
8476432,2019020068,9,6
8477505,2019020068,19,10
8477998,2019020068,1,0
8478027,2019020068,6,3
8478427,2019020068,17,8
8479328,2019020068,1,0
8479400,2019020068,10,3
8480039,2019020068,1,1
8470775,2019020086,15,11
8474034,2019020086,1,1
8474564,2019020086,6,2
8474870,2019020086,5,3
8475193,2019020086,1,0
8475738,2019020086,5,2
8476479,2019020086,12,8
8476826,2019020086,9,3
8477409,2019020086,1,0
8477503,2019020086,10,5
8478010,2019020086,12,4
8478519,2019020086,16,7
8480018,2019020086,3,2
8480829,2019020086,4,2
8470755,2019020087,16,7
8471262,2019020087,10,5
8474613,2019020087,18,7
8476392,2019020087,11,5
8476460,2019020087,23,10
8476994,2019020087,1,1
8477429,2019020087,15,11
8477940,2019020087,1,0
8477951,2019020087,3,1
8477989,2019020087,8,6
8478458,2019020087,1,0
8478474,2019020087,1,1
8478891,2019020087,1,0
8479339,2019020087,1,0
8481019,2019020087,4,3
8466138,2019020097,19,10
8473533,2019020097,17,5
8474053,2019020097,18,14
8475169,2019020097,2,1
8475287,2019020097,21,11
8476624,2019020097,4,1
8476881,2019020097,18,9
8476882,2019020097,2,1
8476934,2019020097,2,1
8478027,2019020097,12,7
8478427,2019020097,12,5
8479580,2019020097,7,2
8480039,2019020097,2,1
8470047,2019020111,14,7
8470144,2019020111,7,2
8471794,2019020111,1,0
8475772,2019020111,12,6
8476454,2019020111,15,7
8476822,2019020111,7,3
8476915,2019020111,1,1
8477454,2019020111,1,0
8477455,2019020111,6,4
8477511,2019020111,2,2
8477934,2019020111,10,7
8477946,2019020111,16,8
8478402,2019020111,11,4
8481813,2019020111,5,3
8469459,2019020125,22,12
8470595,2019020125,14,11
8470610,2019020125,2,1
8470775,2019020125,9,5
8475254,2019020125,8,3
8475738,2019020125,4,2
8476393,2019020125,1,0
8476479,2019020125,22,9
8477451,2019020125,3,0
8477476,2019020125,1,1
8477503,2019020125,10,5
8477987,2019020125,6,3
8478413,2019020125,3,1
8479316,2019020125,6,3
8480018,2019020125,4,2
8480829,2019020125,13,6
8471669,2019020130,12,3
8471817,2019020130,2,2
8473512,2019020130,20,11
8474157,2019020130,1,0
8475236,2019020130,16,6
8475763,2019020130,8,5
8476448,2019020130,16,8
8476461,2019020130,17,11
8476539,2019020130,2,0
8476872,2019020130,3,2
8477290,2019020130,1,1
8477478,2019020130,2,1
8477931,2019020130,8,6
8478067,2019020130,1,1
8478844,2019020130,10,3
8479996,2019020130,1,0
8471743,2019020147,3,3
8475149,2019020147,5,3
8475184,2019020147,1,0
8475728,2019020147,8,3
8475735,2019020147,2,1
8475784,2019020147,1,1
8476458,2019020147,9,2
8476459,2019020147,18,9
8478403,2019020147,18,10
8479353,2019020147,12,6
8479999,2019020147,9,6
8480072,2019020147,1,0
8481554,2019020147,1,0
8470604,2019020149,5,2
8471685,2019020149,16,10
8473453,2019020149,7,2
8474102,2019020149,1,0
8475098,2019020149,6,3
8475158,2019020149,17,10
8475170,2019020149,10,5
8475768,2019020149,2,1
8476897,2019020149,2,2
8477960,2019020149,5,2
8477964,2019020149,7,1
8478020,2019020149,11,6
8480023,2019020149,2,1
8480113,2019020149,1,0
8481481,2019020149,2,2
8471698,2019020154,3,0
8473563,2019020154,23,13
8474040,2019020154,3,1
8474176,2019020154,1,1
8474189,2019020154,13,7
8475343,2019020154,11,6
8475744,2019020154,13,7
8475772,2019020154,10,4
8476440,2019020154,1,0
