player_id,game_id,name,team,pos,hits,blocks
8473533,2019020031,J. Staal,CAR,C,2.0,0.0
8474031,2019020031,K. Shattenkirk,TBL,D,0.0,1.0
8474034,2019020031,P. Maroon,TBL,LW,1.0,0.0
8474151,2019020031,R. McDonagh,TBL,D,0.0,1.0
8474564,2019020031,S. Stamkos,TBL,C,2.0,2.0
8474581,2019020031,J. Gardiner,CAR,D,2.0,1.0
8474722,2019020031,L. Witkowski,TBL,RW,1.0,1.0
8474870,2019020031,T. Johnson,TBL,C,2.0,0.0
8475167,2019020031,V. Hedman,TBL,D,1.0,4.0
8475287,2019020031,E. Haula,CAR,LW,1.0,0.0
8476288,2019020031,R. Dzingel,CAR,LW,0.0,1.0
8476292,2019020031,O. Palat,TBL,LW,3.0,2.0
8476441,2019020031,J. Edmundson,CAR,D,1.0,1.0
8476453,2019020031,N. Kucherov,TBL,RW,2.0,0.0
8476462,2019020031,D. Hamilton,CAR,D,1.0,0.0
8476826,2019020031,Y. Gourde,TBL,C,1.0,0.0
8476921,2019020031,J. Martinook,CAR,LW,1.0,0.0
8476934,2019020031,B. McGinn,CAR,LW,2.0,0.0
8476958,2019020031,J. Slavin,CAR,D,1.0,2.0
8476966,2019020031,G. Smith,TBL,C,1.0,2.0
8477488,2019020031,B. Pesce,CAR,D,0.0,3.0
8477938,2019020031,H. Fleury,CAR,D,0.0,1.0
8477998,2019020031,W. Foegele,CAR,LW,3.0,0.0
8478027,2019020031,L. Wallmark,CAR,C,1.0,0.0
8478416,2019020031,E. Cernak,TBL,D,3.0,4.0
8478519,2019020031,A. Cirelli,TBL,C,0.0,1.0
8479410,2019020031,M. Sergachev,TBL,D,1.0,3.0
8480830,2019020031,A. Svechnikov,CAR,RW,2.0,0.0
8473422,2019020068,N. Foligno,CBJ,LW,3.0,1.0
8473533,2019020068,J. Staal,CAR,C,8.0,0.0
8474062,2019020068,R. Nash,CBJ,C,1.0,1.0
8474715,2019020068,C. Atkinson,CBJ,RW,1.0,1.0
8475233,2019020068,D. Savard,CBJ,D,2.0,2.0
8476288,2019020068,R. Dzingel,CAR,LW,1.0,0.0
8476432,2019020068,B. Jenner,CBJ,C,1.0,1.0
8476441,2019020068,J. Edmundson,CAR,D,4.0,3.0
8476462,2019020068,D. Hamilton,CAR,D,2.0,0.0
8476850,2019020068,R. Murray,CBJ,D,0.0,2.0
8476882,2019020068,T. Teravainen,CAR,LW,2.0,0.0
8476958,2019020068,J. Slavin,CAR,D,2.0,1.0
8477416,2019020068,O. Bjorkstrand,CBJ,RW,2.0,0.0
8477488,2019020068,B. Pesce,CAR,D,0.0,2.0
8477495,2019020068,S. Jones,CBJ,D,2.0,1.0
8477505,2019020068,A. Wennberg,CBJ,C,1.0,0.0
8477938,2019020068,H. Fleury,CAR,D,4.0,2.0
8477947,2019020068,S. Milano,CBJ,LW,1.0,0.0
8477998,2019020068,W. Foegele,CAR,LW,2.0,0.0
8478027,2019020068,L. Wallmark,CAR,C,0.0,2.0
8478427,2019020068,S. Aho,CAR,RW,1.0,0.0
8478460,2019020068,Z. Werenski,CBJ,D,2.0,0.0
8478906,2019020068,M. Nutivaara,CBJ,D,4.0,1.0
8479328,2019020068,J. Gauthier,CAR,RW,2.0,0.0
8479400,2019020068,P. Dubois,CBJ,C,4.0,1.0
8480205,2019020068,E. Bemstrom,CBJ,C,2.0,0.0
8480830,2019020068,A. Svechnikov,CAR,RW,1.0,0.0
8470601,2019020086,B. Coburn,TBL,D,3.0,1.0
8470642,2019020086,S. Weber,MTL,D,0.0,1.0
8470775,2019020086,N. Thompson,MTL,C,3.0,1.0
8473507,2019020086,J. Petry,MTL,D,1.0,1.0
8473986,2019020086,A. Killorn,TBL,LW,2.0,1.0
8474031,2019020086,K. Shattenkirk,TBL,D,2.0,1.0
8474034,2019020086,P. Maroon,TBL,LW,3.0,1.0
8474038,2019020086,P. Byron,MTL,LW,5.0,0.0
8474151,2019020086,R. McDonagh,TBL,D,0.0,6.0
8474564,2019020086,S. Stamkos,TBL,C,0.0,2.0
8474722,2019020086,L. Witkowski,TBL,RW,9.0,0.0
8474870,2019020086,T. Johnson,TBL,C,1.0,0.0
8475167,2019020086,V. Hedman,TBL,D,0.0,2.0
8475193,2019020086,T. Tatar,MTL,LW,1.0,0.0
8476292,2019020086,O. Palat,TBL,LW,1.0,2.0
8476453,2019020086,N. Kucherov,TBL,RW,1.0,1.0
8476469,2019020086,J. Armia,MTL,RW,1.0,1.0
8476479,2019020086,P. Danault,MTL,C,2.0,1.0
8476826,2019020086,Y. Gourde,TBL,C,0.0,1.0
8476967,2019020086,B. Kulak,MTL,D,2.0,0.0
8477476,2019020086,A. Lehkonen,MTL,LW,2.0,0.0
8477494,2019020086,J. Drouin,MTL,LW,1.0,0.0
8477850,2019020086,C. Folin,MTL,D,1.0,2.0
8478010,2019020086,B. Point,TBL,C,2.0,0.0
8478416,2019020086,E. Cernak,TBL,D,6.0,2.0
8478472,2019020086,M. Joseph,TBL,RW,2.0,1.0
8478519,2019020086,A. Cirelli,TBL,C,2.0,1.0
8479376,2019020086,V. Mete,MTL,D,0.0,3.0
8479410,2019020086,M. Sergachev,TBL,D,3.0,3.0
8480018,2019020086,N. Suzuki,MTL,C,3.0,0.0
8480829,2019020086,J. Kotkaniemi,MTL,C,0.0,1.0
8470755,2019020087,B. Richardson,ARI,C,1.0,0.0
8471262,2019020087,C. Soderberg,ARI,C,1.0,0.0
8471274,2019020087,A. Goligoski,ARI,D,0.0,1.0
8473546,2019020087,M. Grabner,ARI,RW,1.0,0.0
8473618,2019020087,M. Perreault,WPG,C,1.0,0.0
8474218,2019020087,J. Demers,ARI,D,1.0,2.0
8474613,2019020087,D. Stepan,ARI,C,0.0,1.0
8475171,2019020087,O. Ekman-Larsson,ARI,D,1.0,1.0
8475179,2019020087,D. Kulikov,WPG,D,1.0,1.0
8475268,2019020087,G. Bourque,WPG,LW,2.0,0.0
8475868,2019020087,A. Bitetto,WPG,D,1.0,1.0
8476392,2019020087,A. Lowry,WPG,C,6.0,0.0
8476994,2019020087,V. Hinostroza,ARI,LW,1.0,0.0
8477359,2019020087,T. Poolman,WPG,D,1.0,0.0
8477429,2019020087,A. Copp,WPG,C,2.0,0.0
8477504,2019020087,J. Morrissey,WPG,D,2.0,0.0
8477851,2019020087,J. Oesterle,ARI,D,1.0,2.0
8477940,2019020087,N. Ehlers,WPG,LW,0.0,1.0
8477989,2019020087,C. Dvorak,ARI,C,0.0,3.0
8478432,2019020087,C. Fischer,ARI,RW,1.0,0.0
8478458,2019020087,J. Roslovic,WPG,C,1.0,0.0
8478474,2019020087,L. Crouse,ARI,LW,5.0,0.0
8478476,2019020087,K. Capobianco,ARI,D,0.0,1.0
8478856,2019020087,C. Garland,ARI,RW,1.0,1.0
8479339,2019020087,P. Laine,WPG,RW,1.0,0.0
8479345,2019020087,J. Chychrun,ARI,D,0.0,2.0
8480145,2019020087,N. Pionk,WPG,D,1.0,0.0
8481019,2019020087,D. Gustafsson,WPG,C,0.0,1.0
8466139,2019020097,P. Marleau,SJS,C,1.0,2.0
8470613,2019020097,B. Burns,SJS,D,2.0,0.0
8471709,2019020097,M. Vlasic,SJS,D,0.0,2.0
8473533,2019020097,J. Staal,CAR,C,2.0,1.0
8474578,2019020097,E. Karlsson,SJS,D,1.0,3.0
8474581,2019020097,J. Gardiner,CAR,D,2.0,2.0
8475169,2019020097,E. Kane,SJS,LW,2.0,0.0
8475287,2019020097,E. Haula,CAR,LW,1.0,0.0
8475455,2019020097,B. Dillon,SJS,D,4.0,1.0
8475799,2019020097,N. Niederreiter,CAR,RW,2.0,0.0
8475834,2019020097,M. Sorensen,SJS,LW,1.0,1.0
8475841,2019020097,T. Heed,SJS,D,1.0,1.0
8476288,2019020097,R. Dzingel,CAR,LW,0.0,1.0
8476441,2019020097,J. Edmundson,CAR,D,1.0,1.0
8476462,2019020097,D. Hamilton,CAR,D,4.0,1.0
8476624,2019020097,B. Goodrow,SJS,RW,1.0,2.0
8476881,2019020097,T. Hertl,SJS,C,1.0,0.0
8476934,2019020097,B. McGinn,CAR,LW,2.0,1.0
8477488,2019020097,B. Pesce,CAR,D,0.0,1.0
8477938,2019020097,H. Fleury,CAR,D,2.0,0.0
8477998,2019020097,W. Foegele,CAR,LW,5.0,1.0
8478099,2019020097,K. Labanc,SJS,RW,1.0,0.0
8478414,2019020097,T. Meier,SJS,RW,0.0,1.0
8478427,2019020097,S. Aho,CAR,RW,1.0,0.0
8479983,2019020097,M. Ferraro,SJS,D,2.0,0.0
8480039,2019020097,M. Necas,CAR,C,0.0,2.0
8480780,2019020097,L. Radil,SJS,C,2.0,0.0
8470047,2019020111,V. Filppula,DET,C,0.0,1.0
8470144,2019020111,F. Nielsen,DET,C,1.0,0.0
8471242,2019020111,M. Green,DET,D,1.0,2.0
8471716,2019020111,J. Abdelkader,DET,LW,2.0,1.0
8471729,2019020111,K. Russell,EDM,D,1.0,4.0
8471794,2019020111,D. Helm,DET,LW,1.0,1.0
8475163,2019020111,A. Chiasson,EDM,RW,2.0,1.0
8475178,2019020111,Z. Kassian,EDM,RW,6.0,0.0
8475430,2019020111,B. Manning,EDM,D,1.0,0.0
8475747,2019020111,P. Nemeth,DET,D,0.0,1.0
8476454,2019020111,R. Nugent-Hopkins,EDM,C,0.0,1.0
8476472,2019020111,O. Klefbom,EDM,D,0.0,2.0
8476822,2019020111,L. Glendening,DET,RW,3.0,4.0
8476915,2019020111,J. Khaira,EDM,LW,3.0,0.0
8476988,2019020111,M. Benning,EDM,D,3.0,1.0
8477215,2019020111,D. DeKeyser,DET,D,1.0,2.0
8477454,2019020111,A. Erne,DET,LW,2.0,1.0
8477455,2019020111,J. de la Rose,DET,LW,1.0,1.0
8477474,2019020111,M. Bowey,DET,D,1.0,1.0
8477479,2019020111,T. Bertuzzi,DET,LW,1.0,0.0
8477498,2019020111,D. Nurse,EDM,D,1.0,2.0
8477511,2019020111,A. Mantha,DET,RW,1.0,0.0
8478402,2019020111,C. McDavid,EDM,C,1.0,0.0
8479425,2019020111,F. Hronek,DET,D,0.0,3.0
8479466,2019020111,P. Russell,EDM,RW,2.0,1.0
8481813,2019020111,G. Haas,EDM,C,4.0,0.0
8469459,2019020125,M. Koivu,MIN,C,0.0,1.0
8470600,2019020125,R. Suter,MIN,D,1.0,0.0
8470610,2019020125,Z. Parise,MIN,LW,0.0,1.0
8470642,2019020125,S. Weber,MTL,D,1.0,3.0
8470775,2019020125,N. Thompson,MTL,C,1.0,0.0
8473507,2019020125,J. Petry,MTL,D,2.0,0.0
8474716,2019020125,J. Spurgeon,MIN,D,0.0,4.0
8475220,2019020125,M. Foligno,MIN,LW,3.0,1.0
8475254,2019020125,G. Dumont,MIN,C,3.0,0.0
8475279,2019020125,B. Chiarot,MTL,D,2.0,1.0
8475738,2019020125,J. Weal,MTL,C,0.0,1.0
8476393,2019020125,N. Cousins,MTL,C,1.0,0.0
8476463,2019020125,J. Brodin,MIN,D,0.0,1.0
8476779,2019020125,B. Hunt,MIN,D,0.0,1.0
8476856,2019020125,M. Dumba,MIN,D,1.0,1.0
