player_id,game_id,shots,goals
8471215,2019020007,4,1
8471675,2019020007,1,0
8471677,2019020007,1,0
8471724,2019020007,4,0
8471743,2019020007,1,0
8471887,2019020007,2,0
8473449,2019020007,1,0
8474602,2019020007,6,0
8474618,2019020007,2,0
8475208,2019020007,1,0
8475728,2019020007,2,0
8475784,2019020007,5,0
8476525,2019020007,2,0
8476851,2019020007,1,0
8476878,2019020007,3,0
8476918,2019020007,2,0
8476931,2019020007,2,0
8477499,2019020007,5,0
8477839,2019020007,3,2
8477933,2019020007,2,0
8477955,2019020007,2,0
8477969,2019020007,2,0
8478109,2019020007,2,0
8478403,2019020007,4,0
8478866,2019020007,1,0
8479293,2019020007,3,0
8479944,2019020007,1,0
8479999,2019020007,2,0
8480839,2019020007,3,1
8471735,2019020021,1,0
8471873,2019020021,1,0
8474031,2019020021,5,0
8474034,2019020021,4,0
8474098,2019020021,1,0
8474149,2019020021,3,0
8474151,2019020021,1,0
8474564,2019020021,4,1
8474722,2019020021,2,0
8474870,2019020021,1,0
8474884,2019020021,4,3
8476389,2019020021,3,0
8476453,2019020021,3,0
8476456,2019020021,1,0
8476826,2019020021,4,0
8476875,2019020021,1,0
8476966,2019020021,1,1
8477346,2019020021,2,0
8477409,2019020021,3,0
8477493,2019020021,2,0
8477932,2019020021,3,0
8477963,2019020021,1,0
8478211,2019020021,1,0
8478366,2019020021,2,0
8478416,2019020021,1,0
8478472,2019020021,2,1
8478519,2019020021,2,0
8478569,2019020021,2,1
8479410,2019020021,2,0
8471214,2019020023,7,0
8471698,2019020023,3,1
8473533,2019020023,1,0
8473563,2019020023,2,0
8474176,2019020023,1,0
8474581,2019020023,2,1
8474590,2019020023,4,0
8475200,2019020023,1,0
8475209,2019020023,1,0
8475287,2019020023,1,1
8475324,2019020023,2,0
8475462,2019020023,1,0
8475799,2019020023,2,0
8476288,2019020023,1,0
8476441,2019020023,2,0
8476462,2019020023,1,0
8476880,2019020023,3,0
8476894,2019020023,3,0
8476934,2019020023,3,0
8476958,2019020023,2,1
8477488,2019020023,1,0
8477903,2019020023,2,1
8477938,2019020023,1,0
8477944,2019020023,1,0
8477998,2019020023,1,0
8478427,2019020023,5,0
8480039,2019020023,2,0
8480796,2019020023,3,0
8480830,2019020023,3,0
8473533,2019020031,2,0
8473986,2019020031,2,0
8474031,2019020031,1,1
8474151,2019020031,1,0
8474564,2019020031,3,1
8474581,2019020031,2,0
8474870,2019020031,2,1
8475167,2019020031,1,0
8475287,2019020031,3,1
8475799,2019020031,4,0
8476288,2019020031,1,0
8476292,2019020031,1,0
8476441,2019020031,1,0
8476462,2019020031,3,1
8476882,2019020031,3,0
8476934,2019020031,1,0
8476958,2019020031,4,1
8477488,2019020031,3,1
8477938,2019020031,2,0
8477998,2019020031,4,0
8478027,2019020031,2,0
8478427,2019020031,4,0
8478519,2019020031,1,0
8479410,2019020031,1,0
8480039,2019020031,2,0
8480830,2019020031,3,0
8473422,2019020068,1,0
8473533,2019020068,3,0
8474062,2019020068,1,0
8474581,2019020068,3,0
8474679,2019020068,2,0
8474715,2019020068,7,0
8475233,2019020068,1,0
8475287,2019020068,2,1
8475799,2019020068,2,0
8476288,2019020068,1,0
8476441,2019020068,1,0
8476462,2019020068,5,1
8476850,2019020068,2,0
8476934,2019020068,1,0
8476958,2019020068,2,0
8477416,2019020068,2,1
8477488,2019020068,3,0
8477495,2019020068,2,0
8477505,2019020068,2,0
8477938,2019020068,1,0
8477947,2019020068,2,0
8477998,2019020068,2,0
8478027,2019020068,1,0
8478427,2019020068,2,0
8478460,2019020068,3,0
8478882,2019020068,2,0
8478906,2019020068,2,1
8479400,2019020068,3,1
8480039,2019020068,1,0
8480074,2019020068,1,0
8480205,2019020068,1,0
8480830,2019020068,2,0
8481650,2019020068,1,0
8470601,2019020086,1,1
8470642,2019020086,1,0
8470775,2019020086,1,0
8473507,2019020086,6,1
8474031,2019020086,2,0
8474034,2019020086,3,0
8474151,2019020086,1,0
8474564,2019020086,1,1
8474870,2019020086,2,1
8475167,2019020086,1,0
8475193,2019020086,3,0
8475279,2019020086,3,0
8475738,2019020086,3,0
8475848,2019020086,2,0
8476292,2019020086,1,0
8476453,2019020086,1,0
8476469,2019020086,1,0
8476479,2019020086,1,0
