player_id,name,nationality,pos,birth_date,height_in,height_cm,weight_lb,weight_kg,team_id,team_id2,team_id3,birth_city,birth_state_prov,hand,team
8479644,M. Luff,CAN,RW,1997-05-05 01:00:00,"6' 2""",187.96,196.0,88.904032,26,0,0,Oakville,ON,R,LAK
8479671,M. Olivier,USA,RW,1997-02-11 00:00:00,"6' 2""",187.96,210.0,95.25431999999999,18,0,0,Biloxi,MS,R,NSH
8479675,T. Moore,USA,C,1995-03-31 01:00:00,"5' 10""",177.8,185.0,83.91452,10,26,0,Thousand Oaks,CA,L,TOR
8479748,G. Quinney,USA,C,1995-07-29 01:00:00,"5' 11""",180.34,200.0,90.7184,54,0,0,Las Vegas,NV,L,VGK
8479772,Z. MacEwen,CAN,C,1996-07-08 01:00:00,"6' 3""",190.5,205.0,92.98636,23,0,0,Charlottetown,PE,R,VAN
8479933,G. Mayhew,USA,C,1992-12-31 00:00:00,"5' 9""",175.26,166.0,75.296272,30,0,0,Wyandotte,MI,L,MIN
8479944,Z. Aston-Reese,USA,C,1994-08-10 01:00:00,"6' 0""",182.88,204.0,92.532768,5,0,0,Staten Island,NY,L,PIT
8479977,K. Yamamoto,USA,RW,1998-09-29 01:00:00,"5' 8""",172.72,154.0,69.853168,22,0,0,Spokane,WA,R,EDM
8479980,N. Hague,CAN,D,1998-12-05 00:00:00,"6' 6""",198.12,215.0,97.52228,54,0,0,Kitchener,ON,L,VGK
8479983,M. Ferraro,CAN,D,1998-09-17 01:00:00,"5' 11""",180.34,185.0,83.91452,28,0,0,Toronto,ON,L,SJS
8479985,C. Fleury,CAN,D,1998-11-19 00:00:00,"6' 1""",185.42,205.0,92.98636,8,0,0,Carlyle,SK,R,MTL
8479994,J. Anderson-Dolan,CAN,C,1999-09-12 01:00:00,"5' 11""",180.34,188.0,85.275296,26,0,0,Calgary,AB,L,LAK
8479996,C. Glass,CAN,C,1999-04-01 01:00:00,"6' 2""",187.96,178.0,80.739376,54,0,0,Winnipeg,MB,R,VGK
8479998,M. Anderson,USA,D,1999-05-25 01:00:00,"6' 0""",182.88,197.0,89.357624,26,0,0,Fridley,MN,L,LAK
8479999,C. Mittelstadt,USA,C,1998-11-22 00:00:00,"6' 1""",185.42,201.0,91.171992,7,0,0,Eden Prairie,MN,L,BUF
8480002,N. Hischier,CHE,C,1999-01-04 00:00:00,"6' 1""",185.42,175.0,79.3786,1,0,0,Brig,,L,NJD
8480003,J. Boqvist,SWE,C,1998-10-30 00:00:00,"6' 0""",182.88,180.0,81.64656,1,0,0,Falun,,L,NJD
8480012,E. Pettersson,SWE,C,1998-11-12 00:00:00,"6' 2""",187.96,176.0,79.83219199999999,23,0,0,Sundsvall,,L,VAN
8480014,G. Vilardi,CAN,C,1999-08-16 01:00:00,"6' 3""",190.5,201.0,91.171992,26,0,0,Kingston,ON,R,LAK
8480018,N. Suzuki,CAN,C,1999-08-10 01:00:00,"5' 11""",180.34,183.0,83.007336,8,0,0,London,ON,R,MTL
8480021,J. Studnicka,CAN,C,1999-02-18 00:00:00,"6' 1""",185.42,171.0,77.564232,6,0,0,Windsor,ON,R,BOS
8480023,R. Thomas,CAN,C,1999-07-02 01:00:00,"6' 0""",182.88,188.0,85.275296,19,0,0,Aurora,ON,R,STL
8480028,M. Frost,CAN,C,1999-05-14 01:00:00,"5' 11""",180.34,170.0,77.11064,4,0,0,Aurora,ON,L,PHI
8480031,M. Comtois,CAN,LW,1999-01-08 00:00:00,"6' 2""",187.96,215.0,97.52228,24,0,0,Longueuil,QC,L,ANA
8480035,H. Jokiharju,FIN,D,1999-06-17 01:00:00,"6' 0""",182.88,195.0,88.45044,7,0,0,Oulu,,R,BUF
8480036,M. Heiskanen,FIN,D,1999-07-18 01:00:00,"6' 1""",185.42,190.0,86.18248,25,0,0,Espoo,,L,DAL
8480039,M. Necas,CZE,C,1999-01-15 00:00:00,"6' 1""",185.42,167.0,75.749864,12,0,0,Nove Mesto na Morave,,R,CAR
8480043,T. Liljegren,SWE,D,1999-04-30 01:00:00,"6' 0""",182.88,198.0,89.811216,10,0,0,Kristianstad,,R,TOR
8480064,J. Norris,USA,C,1999-05-05 01:00:00,"6' 2""",187.96,192.0,87.089664,9,0,0,Oxford,MI,L,OTT
8480068,R. Poehling,USA,C,1999-01-03 00:00:00,"6' 2""",187.96,204.0,92.532768,8,0,0,Lakeville,MN,L,MTL
8480069,C. Makar,CAN,D,1998-10-30 00:00:00,"5' 11""",180.34,187.0,84.821704,21,0,0,Calgary,AB,R,COL
8480072,L. Andersson,SWE,C,1998-10-13 01:00:00,"6' 0""",182.88,204.0,92.532768,3,0,0,Smogen,,L,NYR
8480073,E. Brannstrom,SWE,D,1999-09-02 01:00:00,"5' 10""",177.8,173.0,78.471416,9,0,0,Eksjo,,L,OTT
8480074,A. Texier,FRA,C,1999-09-13 01:00:00,"6' 1""",185.42,192.0,87.089664,29,0,0,St. Martin D'heres,,L,CBJ
8480078,F. Chytil,CZE,C,1999-09-05 01:00:00,"6' 2""",187.96,202.0,91.625584,3,0,0,Kromeriz,,L,NYR
8480113,A. Iafallo,USA,C,1993-12-21 00:00:00,"6' 0""",182.88,185.0,83.91452,26,0,0,Eden,NY,L,LAK
8480144,D. Kampf,CZE,C,1995-01-12 00:00:00,"6' 2""",187.96,195.0,88.45044,16,0,0,Chomutov,,L,CHI
8480145,N. Pionk,USA,D,1995-07-29 01:00:00,"6' 0""",182.88,190.0,86.18248,52,0,0,Hermantown,MN,R,WPG
8480147,O. Fantenberg,SWE,D,1991-10-07 01:00:00,"6' 0""",182.88,210.0,95.25431999999999,23,0,0,Ljunby,,L,VAN
8480157,C. Rosen,SWE,D,1994-02-02 00:00:00,"6' 1""",185.42,195.0,88.45044,21,10,0,Vaxjo,,L,COL
8480160,R. Simek,CZE,D,1992-09-20 01:00:00,"5' 11""",180.34,200.0,90.7184,28,0,0,Mlada Boleslav,,L,SJS
8480172,J. Rutta,CZE,D,1990-07-29 01:00:00,"6' 3""",190.5,200.0,90.7184,14,0,0,Písek,,R,TBL
8480184,G. Lindstrom,SWE,D,1998-10-20 01:00:00,"6' 2""",187.96,190.0,86.18248,17,0,0,Ostervala,,R,DET
8480185,E. Luostarinen,FIN,C,1998-09-02 01:00:00,"6' 3""",190.5,184.0,83.460928,12,0,0,Siilinjarvi,,L,CAR
8480186,A. Volkov,RUS,RW,1997-08-02 01:00:00,"6' 1""",185.42,191.0,86.636072,14,0,0,Moscow,,L,TBL
8480205,E. Bemstrom,SWE,C,1999-06-01 01:00:00,"6' 0""",182.88,190.0,86.18248,29,0,0,Nykoping,,R,CBJ
8480247,J. Davidsson,SWE,RW,1997-03-12 00:00:00,"5' 11""",180.34,185.0,83.91452,9,0,0,Tyreso,,R,OTT
8480336,S. Walker,CAN,D,1994-11-13 00:00:00,"5' 11""",180.34,196.0,88.904032,26,0,0,Keswick,ON,R,LAK
8480727,Z. Whitecloud,CAN,D,1996-11-28 00:00:00,"6' 2""",187.96,209.0,94.80072799999999,54,0,0,Brandon,MB,R,VGK
8480762,E. Robinson,USA,LW,1995-06-14 01:00:00,"6' 2""",187.96,200.0,90.7184,29,0,0,BELLMAWR,NJ,L,CBJ
8480780,L. Radil,CZE,C,1990-08-05 01:00:00,"6' 4""",193.04,205.0,92.98636,28,0,0,Caslav,,R,SJS
8480789,O. Wahlstrom,USA,RW,2000-06-13 01:00:00,"6' 2""",187.96,211.0,95.707912,2,0,0,Quincy,MA,R,NYI
8480796,M. Fehervary,SVK,D,1999-10-06 01:00:00,"6' 2""",187.96,200.0,90.7184,15,0,0,Bratislava,,L,WSH
8480797,J. Farabee,USA,LW,2000-02-25 00:00:00,"6' 0""",182.88,164.0,74.389088,4,0,0,Syracuse,NY,L,PHI
8480800,Q. Hughes,USA,D,1999-10-14 01:00:00,"5' 10""",177.8,170.0,77.11064,23,0,0,Orlando,FL,L,VAN
8480801,B. Tkachuk,USA,LW,1999-09-16 01:00:00,"6' 4""",193.04,212.0,96.161504,9,0,0,Scottsdale,AZ,L,OTT
8480806,I. Lundestrom,SWE,C,1999-11-06 00:00:00,"6' 0""",182.88,187.0,84.821704,24,0,0,Gallivare,,L,ANA
8480821,F. Zadina,CZE,RW,1999-11-27 00:00:00,"6' 0""",182.88,189.0,85.728888,17,0,0,Pardubice,,L,DET
8480822,M. Kaut,CZE,RW,1999-10-02 01:00:00,"6' 2""",187.96,190.0,86.18248,21,0,0,Brno,,R,COL
8480829,J. Kotkaniemi,FIN,C,2000-07-06 01:00:00,"6' 2""",187.96,198.0,89.811216,8,0,0,Pori,,L,MTL
8480830,A. Svechnikov,RUS,RW,2000-03-26 00:00:00,"6' 2""",187.96,195.0,88.45044,12,0,0,Barnaul,,L,CAR
8480839,R. Dahlin,SWE,D,2000-04-13 01:00:00,"6' 3""",190.5,193.0,87.543256,7,0,0,Lidkoping,,L,BUF
8480849,B. Hayton,CAN,C,2000-06-09 01:00:00,"6' 1""",185.42,190.0,86.18248,53,0,0,Peterborough,ON,L,ARI
8480865,N. Dobson,CAN,D,2000-01-07 00:00:00,"6' 4""",193.04,184.0,83.460928,2,0,0,Summerside,PE,R,NYI
8480871,A. Boqvist,SWE,D,2000-08-15 01:00:00,"5' 11""",180.34,179.0,81.192968,16,0,0,Falun,,R,CHI
8480873,R. Sandin,SWE,D,2000-03-07 00:00:00,"5' 11""",180.34,183.0,83.007336,10,0,0,Uppsala,,L,TOR
8480901,K. Kuhlman,USA,C,1995-09-26 01:00:00,"5' 11""",180.34,185.0,83.91452,6,0,0,Esko,MN,R,BOS
8480944,P. Lindholm,SWE,C,1991-10-05 01:00:00,"6' 0""",182.88,183.0,83.007336,6,0,0,Kusmark,,L,BOS
8480945,J. Riikola,FIN,D,1993-11-09 00:00:00,"6' 0""",182.88,189.0,85.728888,5,0,0,Joensuu,,L,PIT
8480946,D. Kahun,DEU,C,1995-07-02 01:00:00,"5' 11""",180.34,175.0,79.3786,5,7,0,Plana,,L,PIT
8480950,I. Lyubushkin,RUS,D,1994-04-06 01:00:00,"6' 2""",187.96,201.0,91.171992,53,0,0,Moscow,,R,ARI
8480965,A. Suomela,FIN,C,1994-03-17 00:00:00,"6' 0""",182.88,180.0,81.64656,28,0,0,Espoo,,L,SJS
8481019,D. Gustafsson,SWE,C,2000-04-11 01:00:00,"6' 2""",187.96,196.0,88.904032,52,0,0,Tingsryd,,L,WPG
8481186,L. O'Connor,USA,RW,1996-08-14 01:00:00,"6' 0""",182.88,175.0,79.3786,21,0,0,Missouri City,TX,R,COL
8481433,T. Hirose,CAN,LW,1996-06-30 01:00:00,"5' 10""",177.8,162.0,73.481904,17,0,0,Calgary,AB,L,DET
8481477,N. Sturm,DEU,C,1995-05-03 01:00:00,"6' 3""",190.5,206.0,93.439952,30,0,0,Augsburg,,L,MIN
8481481,B. Lizotte,USA,C,1997-12-13 00:00:00,"5' 7""",170.18,172.0,78.017824,26,0,0,Lindstrom,MN,L,LAK
8481516,J. Kellman,SWE,C,1994-05-25 01:00:00,"5' 11""",180.34,192.0,87.089664,28,0,0,Karlskrona,,L,SJS
8481523,K. Dach,CAN,C,2001-01-21 00:00:00,"6' 4""",193.04,197.0,89.357624,16,0,0,Fort Saskatchewan,AB,R,CHI
8481554,K. Kakko,FIN,RW,2001-02-13 00:00:00,"6' 3""",190.5,199.0,90.264808,3,0,0,Turku,,L,NYR
8481559,J. Hughes,USA,C,2001-05-14 01:00:00,"5' 11""",180.34,170.0,77.11064,1,0,0,Orlando,FL,L,NJD
8481624,I. Mikheyev,RUS,RW,1994-10-10 01:00:00,"6' 3""",190.5,195.0,88.45044,10,0,0,Omsk,,L,TOR
8481637,A. Wedin,SWE,LW,1993-03-01 00:00:00,"5' 11""",180.34,195.0,88.45044,16,0,0,Sundsvall,,L,CHI
8481638,J. Nygard,SWE,LW,1993-01-08 00:00:00,"6' 0""",182.88,179.0,81.192968,22,0,0,Stockholm,,L,EDM
8481650,J. Lilja,SWE,LW,1993-07-23 01:00:00,"6' 1""",185.42,196.0,88.904032,29,0,0,Malmo,,L,CBJ
8481813,G. Haas,CHE,C,1992-01-31 00:00:00,"6' 0""",182.88,181.0,82.100152,22,0,0,Bonfol,,R,EDM
