name,pos,dist,hand,st_x,st_y,goal,team,event,period,period_time_remaining,game_id,player_id,shot_id,period_type,miss_loc,assist,assist2,blocker,goalie,scorer,date_time,shot_type,missed_net,empty,gw
Z. Aston-Reese,C,41.77319714841085,L,58.0,28.0,False,PIT,Shot,1,196.0,2019020007,8479944.0,2019020007_132,REGULAR,,,,,8475622.0,,2019-10-04 00:45:48,wrist,False,False,False
Z. Aston-Reese,C,56.60388679233962,L,41.0,30.0,False,PIT,Missed Shot,1,174.0,2019020007,8479944.0,2019020007_136,REGULAR,wide of net,,,,,,2019-10-04 00:46:40,,True,False,False
D. Simon,C,32.01562118716424,L,64.0,-20.0,False,PIT,Missed Shot,1,165.0,2019020007,8478866.0,2019020007_138,REGULAR,wide of net,,,,,,2019-10-04 00:46:49,,True,False,False
J. Johnson,D,52.3450093132096,L,53.0,38.0,False,PIT,Shot,1,138.0,2019020007,8471677.0,2019020007_141,REGULAR,,,,,8475622.0,,2019-10-04 00:47:20,wrist,False,False,False
B. Tanev,LW,12.727922061357855,L,80.0,9.0,False,PIT,Shot,1,57.0,2019020007,8479293.0,2019020007_149,REGULAR,,,,,8475622.0,,2019-10-04 00:49:09,wrist,False,False,False
R. Ristolainen,D,72.71863585079137,R,27.0,-38.0,False,BUF,Shot,1,23.0,2019020007,8477499.0,2019020007_155,REGULAR,,,,,8476899.0,,2019-10-04 00:50:44,wrist,False,False,False
J. McCann,C,20.0,L,73.0,12.0,False,PIT,Missed Shot,2,1071.0,2019020007,8477955.0,2019020007_170,REGULAR,wide of net,,,,,,2019-10-04 01:11:18,,True,False,False
Z. Girgensons,C,43.04648650006177,L,46.0,-2.0,False,BUF,Shot,2,1022.0,2019020007,8476878.0,2019020007_174,REGULAR,,,,,8476899.0,,2019-10-04 01:12:06,wrist,False,False,False
C. Miller,D,53.75872022286245,R,38.0,-17.0,False,BUF,Shot,2,959.0,2019020007,8476525.0,2019020007_176,REGULAR,,,,,8476899.0,,2019-10-04 01:13:11,wrist,False,False,False
B. Dumoulin,D,37.53664875824692,L,64.0,28.0,False,PIT,Shot,2,878.0,2019020007,8475208.0,2019020007_185,REGULAR,,,,,8475622.0,,2019-10-04 01:15:10,snap,False,False,False
